"uid","domainID","siteID","namedLocation","collectDate","identifiedDate","sampleID","sampleCode","slideID","acceptedTaxonID","targetTaxaPresent","scientificName","morphospeciesID","taxonRank","phylum","subphylum","class","subclass","infraclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","subtribe","genus","specificEpithet","infraspecificEpithet","invertebrateLifeStage","sizeClass","sizeCategory","individualCount","subsamplePercent","estimatedTotalCount","immatureSpecimen","indeterminateSpecies","sampleCondition","distinctTaxon","identificationQualifier","identificationReferences","qcChecked","laboratoryName","identifiedBy","identificationRemarks","dataQF","publicationDate","release"
"00860705-3354-4552-9ac1-cc96d440f110","D17","TECR","TECR.AOS.reach",2021-09-15 17:29:00,2022-05-20,"TECR.20210915.SURBER.7","A00000298955",NA,"YORSP","Y","Yoraperla sp.",NA,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Systellognatha",NA,NA,"Peltoperlidae","Peltoperlinae",NA,NA,"Yoraperla","sp.",NA,"larva",1,NA,3,27,11,"N","N","condition OK","Y",NA,"Stewart and Stark 2002; Merritt et al. 2019","Y","Rhithron Associates, Inc.","B. Moore",NA,NA,"20221129T225225Z","RELEASE-2023"
"045d3481-f774-4f08-8ff4-090a4593f94c","D17","TECR","TECR.AOS.reach",2021-09-15 17:29:00,2022-05-20,"TECR.20210915.SURBER.4","A00000298966","BA22NEOMST08005O1","LUMSP1","Y","Lumbricina sp.",NA,"suborder","Annelida","Clitellata","Oligochaeta","Oligochaeta",NA,NA,"Tubificida","Lumbricina",NA,NA,NA,NA,NA,NA,NA,"sp.",NA,"none",10,NA,1,17,6,"N","N","condition OK","Y",NA,"Kathman and Brinkhurst, 1999","N","Rhithron Associates, Inc.","J. Webb",NA,NA,"20221129T225225Z","RELEASE-2023"
"b0ed20fa-5549-4205-9f95-c0d9f2edd1e8","D17","TECR","TECR.AOS.reach",2021-09-15 17:29:00,2022-05-20,"TECR.20210915.SURBER.3","A00000298964",NA,"ATUSP1","Y","Aturus sp.",NA,"genus","Arthropoda","Chelicerata","Arachnida","Acari",NA,"Acariformes","Trombidiformes","Prostigmata",NA,"Hygrobatoidea","Aturidae",NA,NA,NA,"Aturus","sp.",NA,"adult",1,NA,3,60,5,"N","N","condition OK","Y",NA,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","B. Moore",NA,NA,"20221129T225225Z","RELEASE-2023"
"d0e7bee3-de5a-40cc-b52a-2d1ba9af2416","D17","TECR","TECR.AOS.reach",2021-09-15 17:29:00,2022-05-23,"TECR.20210915.SURBER.4","A00000298966",NA,"MICSP5","Y","Microtendipes sp.",NA,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",NA,"Chironomidae","Chironominae","Chironomini",NA,"Microtendipes","sp.",NA,"larva",3,NA,5,17,29,"N","N","condition OK","Y",NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",NA,NA,"20221129T225225Z","RELEASE-2023"
"1524bca9-c712-4af4-9993-4a8a7c928c5c","D17","TECR","TECR.AOS.reach",2021-09-15 17:29:00,2022-05-20,"TECR.20210915.SURBER.3","A00000298964",NA,"POLSP5","Y","Polycentropodidae sp.",NA,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",NA,NA,"Hydropsychoidea","Polycentropodidae",NA,NA,NA,NA,"sp.",NA,"larva",1,NA,1,60,2,"Y","N","condition OK","Y",NA,"Flint 1994; Wiggins 1996; Merritt et al. 2019; Chamorro and Holzenthal 2011","N","Rhithron Associates, Inc.","B. Moore",NA,NA,"20221129T225225Z","RELEASE-2023"
"fbd64e64-e623-4f1b-968c-0f9892aa99bc","D17","TECR","TECR.AOS.reach",2021-09-15 17:29:00,2022-05-19,"TECR.20210915.SURBER.7","A00000298955",NA,"BRISP","Y","Brillia sp.",NA,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",NA,"Chironomidae","Orthocladiinae",NA,NA,"Brillia","sp.",NA,"larva",5,NA,1,27,4,"N","N","condition OK","Y",NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","Y","Rhithron Associates, Inc.","R. Spring",NA,NA,"20221129T225225Z","RELEASE-2023"
"02bfa32d-bd81-4a4c-b9c6-a3cb4ac5e015","D17","TECR","TECR.AOS.reach",2021-09-15 17:29:00,2022-05-23,"TECR.20210915.SURBER.2","A00000298963",NA,"YORSP","Y","Yoraperla sp.",NA,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Systellognatha",NA,NA,"Peltoperlidae","Peltoperlinae",NA,NA,"Yoraperla","sp.",NA,"larva",3,NA,3,13,23,"N","N","condition OK","Y",NA,"Stewart and Stark 2002; Merritt et al. 2019","N","Rhithron Associates, Inc.","B. Moore",NA,NA,"20221129T225225Z","RELEASE-2023"
"ac35c53e-2a04-42ae-b5eb-392946974223","D17","TECR","TECR.AOS.reach",2021-09-15 17:29:00,2022-05-23,"TECR.20210915.SURBER.4","A00000298966",NA,"TANSP8","Y","Tanytarsini sp.",NA,"tribe","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",NA,"Chironomidae","Chironominae","Tanytarsini",NA,NA,"sp.",NA,"larva",1,NA,36,17,212,"Y","N","condition OK","N",NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",NA,NA,"20221129T225225Z","RELEASE-2023"
"ae32c572-f6c7-4dfb-a94f-cf1970fff1a7","D17","TECR","TECR.AOS.reach",2021-09-15 17:29:00,2022-05-20,"TECR.20210915.SURBER.5","A00000298912",NA,"OSTSP","Y","Ostracoda sp.",NA,"class","Arthropoda","Crustacea","Ostracoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sp.",NA,"none",1,NA,2,57,4,"N","N","condition OK","Y",NA,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","B. Moore",NA,NA,"20221129T225225Z","RELEASE-2023"
"1ddb2aff-9a53-46a5-b42e-94de400134b1","D17","TECR","TECR.AOS.reach",2021-09-15 17:29:00,2022-05-19,"TECR.20210915.SURBER.7","A00000298955",NA,"MICSP6","Y","Micropsectra sp.",NA,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",NA,"Chironomidae","Chironominae","Tanytarsini",NA,"Micropsectra","sp.",NA,"pupa",3,NA,1,27,4,"N","N","condition OK","N",NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","Y","Rhithron Associates, Inc.","R. Spring",NA,NA,"20221129T225225Z","RELEASE-2023"
