name,pubCode,description,startDate,endDate
"ais.sensorMove","not submerged","not submerged",2012-01-01T00:00:00Z,NA
"ais.sensorMove","damage requiring infrastructure fix","damage requiring infrastructure fix",2012-01-01T00:00:00Z,NA
"ais.sensorMove","high flow predicted","high flow predicted",2012-01-01T00:00:00Z,NA
"ais.sensorMove","low flow predicted","low flow predicted",2012-01-01T00:00:00Z,NA
"ais.sensorMove","cable slip","cable slip",2012-01-01T00:00:00Z,NA
"ais.sensorOrientation","horizontal","horizontal",2012-01-01T00:00:00Z,NA
"ais.sensorOrientation","vertical","vertical",2012-01-01T00:00:00Z,NA
"ais.sensorSet","S1","Sensor set 1, upstream, no FDOM or nitrate",2012-01-01T00:00:00Z,NA
"ais.sensorSet","S2","Sensor set 2, downstream, fDOM and nitrate",2012-01-01T00:00:00Z,NA
"ais.sensorSet","Both S1 and S2","Both S1 and S2",2012-01-01T00:00:00Z,NA
"ais.surveyType","initial","initial",2012-01-01T00:00:00Z,NA
"ais.surveyType","resurvey","resurvey",2012-01-01T00:00:00Z,NA
"ais.turbidityPoints","1-point","1-point, DI only",2012-01-01T00:00:00Z,NA
"ais.turbidityPoints","2-point","2-point",2012-01-01T00:00:00Z,NA
"ais.turbidityPoints","3-point","3-point",2012-01-01T00:00:00Z,NA
"ais.vertical","top","top",2012-01-01T00:00:00Z,NA
"ais.vertical","bottom","bottom",2012-01-01T00:00:00Z,NA
"ais.yesNoFailed","Y","Yes",2012-01-01T00:00:00Z,NA
"ais.yesNoFailed","Failed","No",2012-01-01T00:00:00Z,NA
"ais.yesNoFailed","N","No",2012-01-01T00:00:00Z,NA
"fsh.actualOrEstimated","actual","actual",2012-01-01T00:00:00Z,NA
"fsh.actualOrEstimated","estimated","estimated",2012-01-01T00:00:00Z,NA
"rip.bankLR","Left","Left",2012-01-01T00:00:00Z,NA
"rip.bankLR","Right","Right",2012-01-01T00:00:00Z,NA
"samplingImpractical","location dry","location dry",2012-01-01T00:00:00Z,NA
"samplingImpractical","location frozen","location frozen",2012-01-01T00:00:00Z,NA
"samplingImpractical","location snow covered","location snow covered",2012-01-01T00:00:00Z,NA
"samplingImpractical","other","Sampling location inaccessible due to other ecological reason described in the remarks",2012-01-01T00:00:00Z,NA
"samplingImpractical","shallow groundwater","shallow groundwater; depth of groundwater column less than 0.5 m",2012-01-01T00:00:00Z,NA
"samplingImpractical","low yield groundwater","low yield groundwater well",2012-01-01T00:00:00Z,NA
"samplingImpractical","high water velocity","high water velocity",2012-01-01T00:00:00Z,NA
"samplingImpractical","staff gauge disturbed","staff gauge disturbed",2012-01-01T00:00:00Z,NA
"samplingImpractical","staff gauge not installed","staff gauge not installed",2012-01-01T00:00:00Z,NA
"samplingImpractical","OK","OK",2012-01-01T00:00:00Z,NA
"samplingImpractical","coordinates not suitable","Maximum number of attempts made to sample within a subplot were unsuccessful",2012-01-01T00:00:00Z,NA
"samplingImpractical","location flooded","location flooded",2012-01-01T00:00:00Z,NA
"samplingImpractical","logistical","logistical",2012-01-01T00:00:00Z,NA
"samplingImpractical","management","management",2012-01-01T00:00:00Z,NA
"samplingImpractical","extreme weather","extreme weather",2012-01-01T00:00:00Z,NA
"samplingImpractical","location burned","location burned",2012-01-01T00:00:00Z,NA
"samplingImpractical","temperature low","temperature low",2012-01-01T00:00:00Z,NA
"samplingImpractical","temperature high","temperature high",2012-01-01T00:00:00Z,NA
"samplingImpractical","disturbance","samples not collected due to disturbance",2012-01-01T00:00:00Z,NA
"samplingImpractical","too windy","too windy",2012-01-01T00:00:00Z,NA
"samplingImpractical","horizon not present","horizon not present in the incubated soil sample",2012-01-01T00:00:00Z,NA
"samplingImpractical","location wet","location too wet due to rain or dew",2012-01-01T00:00:00Z,NA
"samplingImpractical","not all samples collected on this date","not all samples collected on this date",2012-01-01T00:00:00Z,2022-12-31T00:00:00Z
"samplingImpractical","exclosure cell not clipped, livestock absent","exclosure clip cell not harvested, cattle absent during previous grazing interval",2012-01-01T00:00:00Z,NA
"samplingImpractical","ambient cell not clipped, livestock absent","ambient clip cell not harvested, cattle absent during previous grazing interval",2012-01-01T00:00:00Z,NA
"samplingImpractical","wildfire","sampling location inaccessible due to active wildfire or post fire safety hazards",2012-01-01T00:00:00Z,NA
"samplingImpractical","wildlife hazard","wildlife hazard, specific hazard described in remarks",2012-01-01T00:00:00Z,NA
"samplingImpractical","safety hazard","unsafe conditions at sampling location or on route to sampling location",2012-01-01T00:00:00Z,NA
"samplingImpractical","outside target flow range","selected when stream flow already has good coverage and specific flows are being targeted",2022-03-01T00:00:00Z,NA
"samplingImpractical","onshore protocols only","sampling not required when only onshore protocols are scheduled",2012-01-01T00:00:00Z,NA
"samplingImpractical","night fishing","sampling not required when night fishing",2012-01-01T00:00:00Z,NA
"samplingImpractical","obstruction","sample not collected due to an obstruction in sampling area",2012-01-01T00:00:00Z,NA
"samplingImpractical","location vulnerable to planned sampling","location vulnerable to excessive technician impacts during planned sampling",2012-01-01T00:00:00Z,NA
"samplingImpractical","exclosure clip cell not harvested, plants senesced for entire sampling interval","plants under the exclosure had senesced for the entirety of the previous sampling interval",2012-01-01T00:00:00Z,NA
"samplingImpractical","ambient clip cell not harvested, plants senesced for entire sampling interval","plants exposed to grazing had senesced for the entirety of the previous sampling interval",2012-01-01T00:00:00Z,NA
"Yes or No choice","Y","Yes",2012-01-01T00:00:00Z,NA
"Yes or No choice","N","No",2012-01-01T00:00:00Z,NA
