id,parentIssueID,issueDate,resolvedDate,dateRangeStart,dateRangeEnd,locationAffected,issue,resolution
17696,15347,"2020-06-01T00:00:00Z","2020-06-01T00:00:00Z","2020-11-22T00:00:00Z","2020-12-17T00:00:00Z","WLOU (HOR.VER: 101.100; 102.100)","PRT encased in ice","Sensor released from ice."
17796,10226,"2019-06-24T00:00:00Z","2019-06-21T00:00:00Z","2020-08-20T00:00:00Z","2020-12-29T00:00:00Z","MAYF (HOR.VER: 101.100)","Sensor damage caused erroneous data","Sensor replaced, manual flagging applied."
17898,6131,"2018-12-02T00:00:00Z","2018-12-02T00:00:00Z","2020-06-25T00:00:00Z","2020-11-02T00:00:00Z","ARIK (HOR.VER: 101.100)","PRT became at least partially exposed.","Manual flagging applied."
17899,6131,"2018-12-02T00:00:00Z","2018-12-02T00:00:00Z","2020-09-11T00:00:00Z","2020-11-02T00:00:00Z","ARIK (HOR.VER: 102.100)","PRT became at least partially exposed.","Manual flagging applied."
17900,10226,"2019-06-24T00:00:00Z","2019-06-21T00:00:00Z","2020-07-30T00:00:00Z","2020-11-19T00:00:00Z","CUPE (HOR.VER: 101.100)","Sensor damage caused erroneous data","Sensor replaced, manual flagging applied."
18106,NA,"2021-01-14T00:00:00Z","2021-12-31T00:00:00Z","2020-03-23T00:00:00Z","2021-12-31T00:00:00Z","ALL","Safety measures to protect personnel during the COVID-19 pandemic resulted in reduced or canceled maintenance activities for extended periods at NEON sites. Data availability and/or quality may be negatively impacted during this time.

In addition, the annual refresh of sensors and data acquisition systems (DAS) did not occur according to the typical 1-year schedule for many sites. The annual refresh is where freshly calibrated and verified sensors and DAS replace the units in the field.","NEON reviewed data from all sites and time periods potentially impacted by COVID-19 safety precautions to identify and manually flag suspect data that escaped automated quality tests. Suspect data are indicated by the final quality flag in the data files, which should be used to inform data filtering prior to use. 

Currently, there are no quality flags indicating lack of conformance to an annual sensor refresh interval, but these are in development. Data during this time period should be treated as valid unless marked suspect by other quality flags."
19103,NA,"2021-03-12T00:00:00Z","2021-03-12T00:00:00Z","2020-07-27T00:00:00Z","2020-11-06T00:00:00Z","MCRA (HOR.VER: 101.100)","Sensor exposed to air","Sensor submerged"
19210,NA,"2021-03-19T00:00:00Z","2021-08-17T00:00:00Z","2020-12-03T00:00:00Z","2021-02-05T00:00:00Z","Pose (HOR.VER: 101.100)","Sensor malfunction resulted in bad data","Sensor replaced."
19306,NA,"2020-11-03T00:00:00Z","2023-10-31T00:00:00Z","2020-10-06T00:00:00Z","2021-04-18T00:00:00Z","KING (HOR.VER: 101.100; 102.100)","Low flow conditions resulting in exposed sensors.","Affected data were flagged."
19311,19306,"2020-11-03T00:00:00Z","2023-10-31T00:00:00Z","2020-10-19T00:00:00Z","2021-04-30T00:00:00Z","SYCA (HOR.VER: 101.100; 102.100)","Low flow conditions resulting in exposed sensors.","Affected data were flagged."
25004,NA,"2021-06-23T00:00:00Z","2021-06-22T00:00:00Z","2021-06-20T00:00:00Z","2021-06-22T00:00:00Z","KING (HOR.VER: 102.100)","Temperature sensor exposed to air.","Sensor resubmerged."
40104,19210,"2021-03-19T00:00:00Z","2021-08-17T00:00:00Z","2021-11-02T00:00:00Z","2021-12-15T00:00:00Z","CUPE (HOR.VER: 101.100)","Sensor malfunction resulted in bad data","Sensor replaced."
42004,19210,"2021-03-19T00:00:00Z","2021-08-17T00:00:00Z","2020-02-03T00:00:00Z","2020-10-29T00:00:00Z","TECR (HOR:VER: 102.100)","Sensor malfunction resulted in bad data","Sensor replaced."
42104,19210,"2021-03-19T00:00:00Z","2021-08-17T00:00:00Z","2021-03-30T00:00:00Z","2021-08-05T00:00:00Z","REDB (HOR:VER: 101.100)","Sensor malfunction resulted in bad data","Sensor replaced."
46108,NA,"2022-01-18T00:00:00Z","2022-01-01T00:00:00Z","2013-01-01T00:00:00Z","2021-10-01T00:00:00Z","All","Data were reprocessed to incorporate minor and/or isolated corrections to quality control thresholds, sensor installation periods, geolocation data, and manual quality flags.","Reprocessed provisional data are available now.  Reprocess data previously included in RELEASE-2021 will become available when RELEASE-2022 is issued."
53204,NA,"2022-04-13T00:00:00Z","2022-02-01T00:00:00Z","2021-09-14T00:00:00Z","2022-02-01T00:00:00Z","COMO (HOR.VER: 101.100)","Sensor received erroneous calibration","Sensor replaced."
54104,19210,"2021-03-19T00:00:00Z","2021-08-17T00:00:00Z","2021-10-08T00:00:00Z","2021-10-12T00:00:00Z","BIGC (HOR.VER: 102.100)","Sensor malfunction resulted in bad data","Sensor replaced."
61007,NA,"2022-07-20T00:00:00Z","2022-07-20T00:00:00Z","2022-02-01T00:00:00Z","2022-02-01T00:00:00Z","SYCA","Study reach shifted upstream.  Old upstream location became new downstream location.","Named location database updated."
65104,19210,"2021-03-19T00:00:00Z","2021-08-17T00:00:00Z","2022-05-30T00:00:00Z","2022-08-17T00:00:00Z","LECO (HOR:VER: 101.100)","Sensor malfunction resulted in bad data","Sensor replaced."
66407,NA,"2022-09-12T00:00:00Z","2022-10-31T00:00:00Z","2022-06-12T00:00:00Z","2022-10-31T00:00:00Z","BLDE","Severe flooding destroyed several roads into Yellowstone National Park in June 2022, making the YELL and BLDE sites inaccessible to NEON staff. Preventive and corrective maintenance were not able to be performed, nor was the annual exchange of sensors for calibration and validation. While automated quality control routines are likely to detect and flag most issues, users are advised to review data carefully.","Normal operations resumed on October 31, 2022, when the National Park Service opened a newly constructed road from Gardiner, MT to Mammoth, WY with minimal restrictions. For more details about data impacts, see Data Notification https://www.neonscience.org/impact/observatory-blog/data-impacts-neons-yellowstone-sites-yell-blde-due-catastrophic-flooding-0"
71004,19306,"2020-11-03T00:00:00Z","2023-10-31T00:00:00Z","2022-07-01T00:00:00Z","2022-10-17T00:00:00Z","ARIK (HOR.VER: 101.100; 102.100)","Low flow conditions resulting in exposed sensors.","Affected data were flagged."
77404,25004,"2021-06-23T00:00:00Z","2021-06-22T00:00:00Z","2023-01-05T00:00:00Z","2023-01-05T00:00:00Z","LECO (HOR.VER: 101.100)","Temperature sensor exposed to air.","Sensor resubmerged."
87604,NA,"2023-11-14T00:00:00Z","2024-05-02T00:00:00Z","2016-01-01T00:00:00Z","2024-05-02T00:00:00Z","All locations","Lack of flagging thresholds","Update to flagging thresholds: Range adjusted to better capture data outliers.  Persistence tests adjusted to prevent the overflagging of ~0C water at cold weather sites."
